feature,importance
num_medications|numchange,1.1313816
admission_source_id_7,0.7953538
admission_type_id_3,0.5640211
gender_1,0.39646915
num_medications|num_procedures,0.36922023
number_inpatient_log1p,0.3621078
admission_type_id_5,0.35573986
change|num_medications,0.34429854
discharge_disposition_id_2,0.33437708
number_diagnoses|time_in_hospital,0.31408226
admission_source_id_4,0.26423588
time_in_hospital|num_lab_procedures,0.1780225
level1_diag1_6.0,0.12852772
level1_diag1_5.0,0.11994652
level1_diag1_1.0,0.11007106
number_emergency_log1p,0.09652052
discharge_disposition_id_7,0.0797865
A1Cresult_0,0.07061979
admission_source_id_9,0.069323786
age|number_diagnoses,0.0630305
