,0
gender,0.0014275025244908444
age,0.0163899152256428
admission_type_id,0.005094421812815728
discharge_disposition_id,0.10942089705814062
admission_source_id,0.00848009618524939
time_in_hospital,0.043618191958076515
num_lab_procedures,0.02160919948217376
num_procedures,0.008239587800610248
num_medications,0.04291804608325658
number_outpatient,0.0
number_emergency,0.0
number_inpatient,0.17668193957747294
number_diagnoses,0.030450689490171698
max_glu_serum,0.0
a1cresult,0.0
metformin,0.0
repaglinide,0.0
nateglinide,0.0
chlorpropamide,0.0
glimepiride,0.0
acetohexamide,0.0
glipizide,0.0
glyburide,0.0
tolbutamide,0.0
pioglitazone,0.0
rosiglitazone,0.0
acarbose,0.0
miglitol,0.0
troglitazone,0.0
tolazamide,0.0
insulin,0.02642867084404245
glyburide-metformin,0.0
glipizide-metformin,0.0
glimepiride-pioglitazone,0.0
metformin-rosiglitazone,0.0
metformin-pioglitazone,0.0
change,0.00869741492240813
diabetesmed,0.0
id,0.007546157983297058
level1_diag1,0.007921401051355935
level1_diag2,0.005535454592295478
level1_diag3,0.012774911067335113
service_utilization,0.1405577582237535
race_Asian,0.00010250071743268787
race_Caucasian,0.0010939196767218852
race_Hispanic,0.000939127425425593
race_Other,0.0009753617468112964
diag_1_11,0.0
diag_1_110,0.0
diag_1_112,2.032219263904519e-05
diag_1_114,0.0
diag_1_115,0.0
diag_1_117,0.0
diag_1_131,0.0
diag_1_133,0.0
diag_1_135,0.0
diag_1_136,0.0
diag_1_141,3.8015358415854156e-06
diag_1_142,0.0
diag_1_143,0.0
diag_1_145,0.0
diag_1_146,0.0
diag_1_147,0.0
diag_1_148,0.0
diag_1_149,0.0
diag_1_150,0.0
diag_1_151,3.0924517254687266e-06
diag_1_152,0.0
diag_1_153,0.00013027079549879784
diag_1_154,1.6501402632763186e-05
diag_1_155,7.29638499159326e-06
diag_1_156,0.0
diag_1_157,9.864081286044565e-06
diag_1_158,0.0
diag_1_160,0.0
diag_1_161,0.0
diag_1_162,7.708260115735845e-05
diag_1_163,0.0
diag_1_164,0.0
diag_1_170,0.0
diag_1_171,0.0
diag_1_172,0.0
diag_1_173,0.0
diag_1_174,6.911859011434724e-05
diag_1_175,0.0
diag_1_179,0.0
diag_1_180,1.8185483889377028e-06
diag_1_182,0.00018374668772995064
diag_1_183,1.1094098653292433e-05
diag_1_184,0.0
diag_1_185,0.0002507083431527761
diag_1_187,0.0
diag_1_188,0.00038310430567488286
diag_1_189,0.0001208183218577233
diag_1_191,6.488335046442939e-07
diag_1_192,0.0
diag_1_193,1.2593667713567258e-06
diag_1_194,0.0
diag_1_195,0.0
diag_1_196,0.0
diag_1_197,0.00016900736156827477
diag_1_198,5.983488895133542e-06
diag_1_199,3.027257244419368e-06
diag_1_200,0.0
diag_1_201,0.0
diag_1_202,0.0
diag_1_203,3.202075685723576e-07
diag_1_204,7.973699540961966e-07
diag_1_205,2.131000646915211e-07
diag_1_207,2.985505000178421e-06
diag_1_208,0.0
diag_1_210,0.0
diag_1_211,0.0004304552085738526
diag_1_212,0.0
diag_1_214,0.0
diag_1_215,0.0
diag_1_216,0.0
diag_1_217,0.0
diag_1_218,0.0016556135721355314
diag_1_219,0.0
diag_1_220,0.0
diag_1_223,0.0
diag_1_225,3.385443141178879e-06
diag_1_226,0.0
diag_1_227,0.0
diag_1_228,0.0
diag_1_229,0.0
diag_1_23,0.0
diag_1_230,0.0
diag_1_233,8.8172240324065e-06
diag_1_235,3.189849129680281e-05
diag_1_236,0.0
diag_1_237,0.0
diag_1_238,5.949062529659249e-07
diag_1_239,0.0
diag_1_240,0.0
diag_1_241,3.296661622691634e-05
diag_1_242,0.0
diag_1_244,0.0
diag_1_245,0.0
diag_1_246,8.946519966174934e-07
diag_1_250,0.0005012144711082673
diag_1_250.01,8.351359939625003e-05
diag_1_250.02,0.0007629106258768222
diag_1_250.03,0.000272769866294514
diag_1_250.1,0.00012542156760733553
diag_1_250.11,0.00010359262209886608
diag_1_250.12,9.847905184932138e-05
diag_1_250.13,0.000364722255368838
diag_1_250.2,0.0003065558032765783
diag_1_250.21,4.4824679111802595e-07
diag_1_250.22,0.0004890383572526707
diag_1_250.23,1.893812805794668e-05
diag_1_250.3,0.0
diag_1_250.31,0.0
diag_1_250.32,0.0
diag_1_250.33,1.0008581965656295e-05
diag_1_250.4,0.0001128869036987638
diag_1_250.41,1.1220492814692869e-05
diag_1_250.42,4.711615660396301e-05
diag_1_250.43,0.0
diag_1_250.5,0.0
diag_1_250.51,0.0
diag_1_250.52,0.0
diag_1_250.53,0.0
diag_1_250.6,0.002254667649485865
diag_1_250.7,0.0017842860469188021
diag_1_250.8,0.0001744949937832531
diag_1_250.81,9.732937574980507e-05
diag_1_250.82,3.29603138602384e-05
diag_1_250.83,6.293231008341905e-05
diag_1_250.9,0.0
diag_1_250.91,0.0
diag_1_250.92,0.0
diag_1_250.93,0.0
diag_1_251,0.0
diag_1_252,0.0
diag_1_253,0.0
diag_1_255,2.0678674031336933e-06
diag_1_261,0.0
diag_1_262,0.0
diag_1_263,0.0
diag_1_266,0.0
diag_1_27,0.0
diag_1_271,0.0
diag_1_272,2.736728255592782e-06
diag_1_273,0.0
diag_1_274,2.5560391233650632e-05
diag_1_275,1.2305934248312357e-05
diag_1_276,0.00018824455976237307
diag_1_277,4.3127929853599355e-06
diag_1_278,0.002097820676386992
diag_1_279,0.0
diag_1_280,0.00023612148092613014
diag_1_281,0.0
diag_1_282,5.450378901228265e-05
diag_1_283,0.0
diag_1_284,0.0
diag_1_285,8.917868195638799e-05
diag_1_286,0.0
diag_1_287,8.322053962326775e-06
diag_1_288,2.98462245862808e-05
diag_1_289,0.0
diag_1_290,1.0230336543770903e-06
diag_1_291,1.9607175944271045e-05
diag_1_292,5.7727065519068786e-05
diag_1_293,3.136695237794284e-06
diag_1_294,1.1050089834903341e-06
diag_1_295,0.00016030515880833648
diag_1_296,0.00017426133551060356
diag_1_297,8.855198538909177e-05
diag_1_298,0.0
diag_1_299,0.0
diag_1_3,0.0
diag_1_300,1.9881711505512922e-05
diag_1_301,0.0
diag_1_303,0.0
diag_1_304,2.3575467195632414e-06
diag_1_305,3.479959841822363e-05
diag_1_306,2.8347381644596413e-06
diag_1_307,4.546882871910059e-08
diag_1_308,0.0
diag_1_309,2.326450402274796e-06
diag_1_31,0.0
diag_1_310,0.00010156236441747862
diag_1_311,0.0
diag_1_312,0.0
diag_1_314,0.0
diag_1_318,0.0
diag_1_320,0.0
diag_1_322,0.0
diag_1_323,0.0
diag_1_324,0.0
diag_1_325,0.0
diag_1_327,0.0
diag_1_331,3.2821975095410344e-05
diag_1_332,7.413754169628319e-05
diag_1_333,2.603729755075125e-06
diag_1_334,0.0
diag_1_335,0.0
diag_1_336,0.0
diag_1_337,5.132510741134241e-08
diag_1_338,0.0
diag_1_34,0.0
diag_1_340,9.220241743793266e-06
diag_1_341,0.0
diag_1_342,4.840332622754129e-06
diag_1_344,0.0
diag_1_345,3.053387958884025e-05
diag_1_346,3.526026142059088e-06
diag_1_347,0.0
diag_1_348,6.795387030228803e-06
diag_1_349,1.0538389767216054e-05
diag_1_35,0.0
diag_1_350,0.0
diag_1_351,1.6460795962528407e-05
diag_1_352,0.0
diag_1_353,2.8442215866060525e-06
diag_1_354,0.0
diag_1_355,0.0
diag_1_356,0.0
diag_1_357,0.0
diag_1_358,5.7862900610558294e-05
diag_1_359,0.0
diag_1_36,0.0
diag_1_360,0.0
diag_1_361,0.0
diag_1_362,1.8104370785769464e-07
diag_1_363,0.0
diag_1_365,0.0
diag_1_366,0.0
diag_1_368,2.92925323171063e-06
diag_1_369,0.0
diag_1_370,0.0
diag_1_372,0.0
diag_1_373,0.0
diag_1_374,0.0
diag_1_375,0.0
diag_1_376,0.0
diag_1_377,6.328455494930118e-07
diag_1_378,1.6201564265618082e-06
diag_1_379,2.084095043747785e-06
diag_1_38,0.0004526846873687765
diag_1_380,0.0
diag_1_381,0.0
diag_1_382,0.0
diag_1_383,0.0
diag_1_384,0.0
diag_1_385,0.0
diag_1_386,0.0008351659637869444
diag_1_388,0.0
diag_1_389,0.0
diag_1_39,0.0
diag_1_391,0.0
diag_1_394,8.008268032826987e-06
diag_1_395,0.0
diag_1_396,0.0
diag_1_397,0.0
diag_1_398,0.00012260353842895785
diag_1_401,0.0002262121637814521
diag_1_402,0.00015090934180831013
diag_1_403,8.49613057150524e-05
diag_1_404,2.4907397037003325e-05
diag_1_405,3.265396711722575e-07
diag_1_41,0.0
diag_1_410,0.0008324510680064049
diag_1_411,0.00045750235297346885
diag_1_412,0.0
diag_1_413,6.0797670176229555e-05
diag_1_414,0.01451842946345651
diag_1_415,6.276970128610241e-05
diag_1_416,3.0257685809392828e-05
diag_1_417,0.0
diag_1_42,1.7904001717080918e-05
diag_1_420,1.4251907305365752e-06
diag_1_421,0.0
diag_1_422,0.0
diag_1_423,9.172254939206405e-06
diag_1_424,0.0001233369500603319
diag_1_425,2.519509136584958e-06
diag_1_426,0.0004119321603198257
diag_1_427,0.0025965179233104845
diag_1_428,0.006729723868458842
diag_1_429,1.9945925460500486e-07
diag_1_430,0.0
diag_1_431,4.534073915301792e-05
diag_1_432,3.07580220109207e-05
diag_1_433,0.000476493829169035
diag_1_434,0.0027063732667852868
diag_1_435,0.0027872005035736547
diag_1_436,4.81623994835579e-06
diag_1_437,4.817069488282986e-06
diag_1_438,1.1737513549981311e-05
diag_1_440,0.00016239193930150925
diag_1_441,2.3866631281772016e-05
diag_1_442,1.595425080864995e-06
diag_1_443,9.615954740667229e-05
diag_1_444,2.2946124878790645e-05
diag_1_445,3.134311399614699e-06
diag_1_446,3.820172064286757e-06
diag_1_447,2.908097721004556e-06
diag_1_448,0.0
diag_1_451,4.846501442133403e-09
diag_1_452,0.0
diag_1_453,0.00015020010716967457
diag_1_454,0.0
diag_1_455,0.00020487591705023564
diag_1_456,3.1830292433416073e-06
diag_1_457,2.5196058981822794e-06
diag_1_458,7.457007667375609e-05
diag_1_459,1.3271526574141067e-05
diag_1_461,5.074322654322744e-06
diag_1_462,0.0
diag_1_463,0.0
diag_1_464,1.0385964445450419e-05
diag_1_465,5.11287756105808e-07
diag_1_466,8.705017018249826e-05
diag_1_47,0.0
diag_1_470,0.0
diag_1_471,0.0
diag_1_473,0.0
diag_1_474,0.0
diag_1_475,0.0
diag_1_477,0.0
diag_1_478,4.798486574615195e-16
diag_1_48,0.0
diag_1_480,1.2963096697362885e-06
diag_1_481,8.833799210046461e-05
diag_1_482,3.742499787120671e-06
diag_1_483,0.0
diag_1_485,5.294193540988241e-06
diag_1_486,0.0006008443715259908
diag_1_487,7.95596033806327e-05
diag_1_49,0.0
diag_1_490,4.303149203499691e-05
diag_1_491,0.0007486522854122096
diag_1_492,0.0
diag_1_493,0.0004466287538955914
diag_1_494,0.0
diag_1_495,0.0
diag_1_496,6.556076264196885e-05
diag_1_5,0.0
diag_1_500,0.0
diag_1_501,3.711710465870644e-06
diag_1_506,0.0
diag_1_507,0.0005539560195440289
diag_1_508,0.0
diag_1_510,0.0
diag_1_511,3.099276178932317e-05
diag_1_512,0.0
diag_1_513,0.0
diag_1_514,5.03510587711173e-06
diag_1_515,1.4779521374464688e-05
diag_1_516,0.0
diag_1_518,6.77243926392576e-05
diag_1_519,0.0
diag_1_52,0.0
diag_1_521,0.0
diag_1_522,0.0
diag_1_523,0.0
diag_1_524,0.0
diag_1_526,2.9873349402310294e-06
diag_1_527,0.0
diag_1_528,5.560340383987166e-07
diag_1_529,0.0
diag_1_53,1.2873009141551678e-07
diag_1_530,9.23587958557137e-05
diag_1_531,0.00014869800488926952
diag_1_532,6.823394236736969e-06
diag_1_533,0.0
diag_1_534,0.0
diag_1_535,0.0002883088069780042
diag_1_536,9.266200461777813e-05
diag_1_537,6.651295003471014e-07
diag_1_54,2.2191441222940693e-07
diag_1_540,0.0011635533606469065
diag_1_541,0.0
diag_1_542,0.0
diag_1_543,0.0
diag_1_550,9.157510845855843e-07
diag_1_551,4.249772755331156e-06
diag_1_552,2.012377506521951e-05
diag_1_553,0.00012531680845423972
diag_1_555,4.8061449258222305e-05
diag_1_556,1.6416691418582392e-05
diag_1_557,7.836737509484667e-06
diag_1_558,0.00036797562330008845
diag_1_560,0.00022860150545917047
diag_1_562,0.0020200539910988293
diag_1_564,4.421947119969841e-05
diag_1_565,0.0
diag_1_566,0.00023801240967327196
diag_1_567,2.960960956110769e-05
diag_1_568,0.0
diag_1_569,5.3385904686157786e-05
diag_1_57,0.0
diag_1_570,0.0
diag_1_571,6.182481708158298e-06
diag_1_572,0.00010230316025458578
diag_1_573,0.0
diag_1_574,0.0019037628524663773
diag_1_575,0.00014447363726931013
diag_1_576,1.1797937385543877e-05
diag_1_577,0.00023542352964961013
diag_1_578,0.00014213610386841697
diag_1_579,0.0
diag_1_58,0.0
diag_1_580,0.0
diag_1_581,0.0
diag_1_582,0.0
diag_1_583,0.0
diag_1_584,0.0006193087916038188
diag_1_585,1.806886004625596e-06
diag_1_586,4.091417768492238e-06
diag_1_588,2.084099524097443e-06
diag_1_590,0.003691281006200796
diag_1_591,3.425411496547932e-05
diag_1_592,0.0024262611405527286
diag_1_593,7.56000285256301e-05
diag_1_594,3.40960049286178e-19
diag_1_595,7.866608201449509e-06
diag_1_596,1.526253850135344e-05
diag_1_598,0.0
diag_1_599,7.763046711536437e-05
diag_1_600,0.0003830185816146934
diag_1_601,2.996150570566879e-19
diag_1_602,0.0
diag_1_603,0.0
diag_1_604,0.0
diag_1_605,0.0
diag_1_607,2.369827608612972e-06
diag_1_608,3.9316298279029774e-06
diag_1_61,0.0
diag_1_610,0.0
diag_1_611,0.0
diag_1_614,3.131771379441565e-07
diag_1_615,0.0
diag_1_616,9.350202258217087e-06
diag_1_617,5.267341161068974e-05
diag_1_618,0.0024696467308544033
diag_1_619,0.0
diag_1_620,7.3334134234229465e-06
diag_1_621,5.613254287558784e-05
diag_1_622,0.0
diag_1_623,0.0
diag_1_625,0.00018782693646794433
diag_1_626,6.707891698003318e-05
diag_1_627,0.0
diag_1_632,0.0
diag_1_633,0.0
diag_1_634,0.0
diag_1_637,0.0
diag_1_640,0.0
diag_1_641,0.0
diag_1_642,0.00024097462063251383
diag_1_643,0.0
diag_1_644,0.0
diag_1_645,0.0
diag_1_646,0.0
diag_1_647,1.761124662060983e-06
diag_1_648,0.0010265184552829274
diag_1_649,0.0
diag_1_652,0.0
diag_1_653,0.0
diag_1_654,7.063226913342834e-05
diag_1_655,0.0
diag_1_656,0.0
diag_1_657,0.0
diag_1_658,0.0
diag_1_659,0.0
diag_1_66,0.0
diag_1_660,0.0
diag_1_661,3.0945688304145535e-05
diag_1_663,0.0
diag_1_664,0.0
diag_1_665,0.0
diag_1_669,0.0
diag_1_671,0.0
diag_1_674,0.0
diag_1_680,0.0
diag_1_681,7.080842617144564e-06
diag_1_682,0.0006216614596844616
diag_1_683,0.0
diag_1_684,0.0
diag_1_685,6.289240151732662e-08
diag_1_686,0.0
diag_1_690,0.0
diag_1_691,0.0
diag_1_692,4.738308932071916e-06
diag_1_693,0.0
diag_1_694,0.0
diag_1_695,0.0
diag_1_696,0.0
diag_1_698,0.0
diag_1_7,0.0
diag_1_70,0.0
diag_1_700,0.0
diag_1_703,0.0
diag_1_704,0.0
diag_1_705,0.0
diag_1_706,0.0
diag_1_707,0.00010400217367028829
diag_1_708,0.0
diag_1_709,0.0
diag_1_710,0.0
diag_1_711,8.944239922954579e-06
diag_1_714,2.2119870865581508e-05
diag_1_715,0.0014274060009396717
diag_1_716,1.6892318660253014e-05
diag_1_717,0.0
diag_1_718,3.992780376825358e-06
diag_1_719,2.0759721979997778e-20
diag_1_720,0.0
diag_1_721,6.558516607262244e-05
diag_1_722,0.0030613753001674945
diag_1_723,1.7217952759283216e-05
diag_1_724,9.164986171371e-05
diag_1_725,1.9443077817149715e-06
diag_1_726,0.00023658435728303646
diag_1_727,0.00010536265060275026
diag_1_728,1.8644917253369257e-05
diag_1_729,2.255324809138937e-06
diag_1_730,6.572570405176278e-05
diag_1_731,3.902422240804317e-06
diag_1_732,0.0
diag_1_733,6.553750899663444e-05
diag_1_734,0.0
diag_1_735,0.0
diag_1_736,1.1629926386139454e-05
diag_1_737,0.0
diag_1_738,0.00015739554116000253
diag_1_745,0.0
diag_1_746,7.478369118378376e-07
diag_1_747,3.6742541372448616e-06
diag_1_75,0.0
diag_1_751,0.0
diag_1_753,0.0
diag_1_756,0.0
diag_1_759,0.0
diag_1_78,0.0
diag_1_780,0.000172178040301854
diag_1_781,1.2237260865527511e-05
diag_1_782,8.678901266152168e-05
diag_1_783,3.6347797748790234e-05
diag_1_784,5.828095283028369e-06
diag_1_785,8.889381751192761e-06
diag_1_786,0.011626725900169768
diag_1_787,5.364819570562873e-05
diag_1_788,9.677225736898176e-05
diag_1_789,0.0003154115800017946
diag_1_79,9.701233547207198e-05
diag_1_790,1.8169962130321575e-06
diag_1_791,0.0
diag_1_792,0.0
diag_1_793,3.1208878601318407e-06
diag_1_794,2.1213095217531195e-05
diag_1_795,0.0
diag_1_796,0.0
diag_1_797,0.0
diag_1_799,1.7311814150292973e-05
diag_1_8,0.00017626318176174199
diag_1_800,0.0
diag_1_801,7.696377503246184e-07
diag_1_802,3.0675914330034667e-06
diag_1_803,0.0
diag_1_805,6.858721747704858e-06
diag_1_806,0.0
diag_1_807,0.00013531672256230197
diag_1_808,9.432260341347362e-05
diag_1_810,2.0910526616694336e-19
diag_1_812,0.00011713864305382566
diag_1_813,5.321547086024623e-06
diag_1_814,0.0
diag_1_815,0.0
diag_1_816,2.2947714036128992e-06
diag_1_817,0.0
diag_1_82,0.0
diag_1_820,0.0018151906133574472
diag_1_821,6.943148031310803e-05
diag_1_822,1.2735329506766195e-06
